Date,Article Class,Article Titles,List of Article Author Names
2018-Aug,Review Article,Fibrodysplasia ossificans progressiva: a current review of imaging findings,Adam H. BauerJeff BonhamDaria Motamedi
2018-Aug,Review Article,A review of main anatomical and sonographic features of subcutaneous nerve injuries related to orthopedic surgery,Anne CauseretIsabelle RactRaphaël Guillin
2018-Aug,Review Article,"The anterior knee: normal variants, common pathologies, and diagnostic pitfalls on MRI",Yong Wei LiuMatthew R. SkalskiGeorge R. Matcuk Jr
2018-Aug,Review Article,Adult thigh muscle injuries—from diagnosis to treatment: what the radiologist should know,João CruzVasco Mascarenhas
2018-Aug,Scientific Article,Pseudotumor in metal-on-metal hip arthroplasty: a comparison study of three grading systems with MRI,C. SmeekesB. J. M. SchoutenR. G. H. H. Nelissen
2018-Aug,Scientific Article,Peripheral DXA measurement around ankle joint to diagnose osteoporosis as assessed by central DXA measurement,Ki Hyuk SungYoung ChoiKyoung Min Lee
2018-Aug,Scientific Article,Hemi-pelvic slope is correlated with the acetabular depth in adults—a radiological study,Mohsen Sadeghi-NainiSalameh TaghipourMansour Abolghasemian
2018-Aug,Scientific Article,MRI of pectoralis major tears: association between ancillary findings and tear severity,Ivan R. B. GodoyEdgar L. Martinez-SalazarMartin Torriani
2018-Aug,Scientific Article,Efficacy and outcome predictors of fluoroscopy-guided facet joint injection for spondylolysis,Woo Young KangJoon Woo LeeHeung Sik Kang
2018-Aug,Scientific Article,Lumbosacral transitional vertebrae: significance of local bone marrow edema at the transverse processes,Mika T. NevalainenEoghan McCarthyJohannes B. Roedl
2018-Aug,Scientific Article,Are adult carpal angle measurements applicable to the pediatric population in the trauma setting?,E. A. JoyceT. FarrellA. Snow
2018-Aug,Scientific Article,MDCT arthrography assessment of scaphoid nonunion advanced collapse: distribution of cartilage damage and relationship with scaphoid nonunion features,Michel D. CremaCatherine PhanYves Menu
2018-Aug,Test Yourself: Question,Chest wall mass in a 15 year old female patient,Michael KhooIan PressneyAsif Saifuddin
2018-Aug,Case Report,A rare case of pelvic bone duplication,Lamya Ann AtwehAbdo JurjusLara Nassar
2018-Aug,Case Report,Spontaneous regression of a large calcified thoracic disk extrusion,Hayley OliganeJean RongoBarton F. Branstetter IV
2018-Aug,Case Report,Osteoblastomatosis: an unusual diagnosis and treatment,Elena Quílez-CaballeroJosé Martel-VillagranMaría Jesús Díaz-Candamio
2018-Aug,Test Yourself: Answer,Chest wall mass in a 15-year-old female patient,Michael KhooIan PressneyAsif Saifuddin
2018-Aug,Browser's Notes,Browser’s Notes,
2018-Aug,Abstracts,"Annual Scientific Meeting Abstracts of the Australasian Musculoskeletal Imaging Group (AMSIG) 2018, Gold Coast, Queensland, Australia",
