Date,Article Class,Article Titles,List of Article Author Names,First Author,Last Author
2018-Dec,Review Article,Diagnostic accuracy of dual-energy CT in gout: a systematic review and meta-analysis,"Zhange Yu,Tianli Mao,Wei Sun",Zhange Yu,Wei Sun
2018-Dec,Review Article,Local recurrence of soft-tissue sarcoma: issues in imaging surveillance strategy,"Nisreen S. Ezuddin,Juan Pretell-Mazzini,Ty K. Subhawong",Nisreen S. Ezuddin,Ty K. Subhawong
2018-Dec,Scientific Article,The preliminary results of a new CT-guided periradicular cervical steroid injection technique: safety and feasibility of the lateral peri-isthmic approach in 28 patients,"Onur Levent Ulusoy,Deniz Alis,Mustafa Sirvanci",Onur Levent Ulusoy,Mustafa Sirvanci
2018-Dec,Scientific Article,CT-guided transforaminal epidural steroid injections: do needle position and degree of foraminal stenosis affect the pattern of epidural flow?,"Nityanand Miskin,Glenn C. Gaviola,Jacob C. Mandell",Nityanand Miskin,Jacob C. Mandell
2018-Dec,Scientific Article,"Comparison of three CT-guided epidural steroid injection approaches in 104 patients with cervical radicular pain: transforaminal anterolateral, posterolateral, and transfacet indirect","Sylvain Bise,Lionel Pesquer,Benjamin Dallaudière",Sylvain Bise,Benjamin Dallaudière
2018-Dec,Scientific Article,Efficacy of intraarticular corticosteroid hip injections for osteoarthritis and subsequent surgery,"Wilson C. Lai,Armin Arshi,Sharon L. Hame",Wilson C. Lai,Sharon L. Hame
2018-Dec,Scientific Article,18F-FDG PET/CT and MRI features of myxoid liposarcomas and intramuscular myxomas,"Brendan W. Lunn,Laurel A. Littrell,Stephen M. Broski",Brendan W. Lunn,Stephen M. Broski
2018-Dec,Scientific Article,"Correlation of benign incidental findings seen on whole-body PET-CT with knee MRI: patterns of 18F-FDG avidity, intra-articular pathology, and bone marrow edema lesions","Christopher J. Burke,William R. Walter,Fabio Ponzo",Christopher J. Burke,Fabio Ponzo
2018-Dec,Scientific Article,"Chemical shift imaging with in-phase and opposed-phase sequences at 3 T: what is the optimal threshold, measurement method, and diagnostic accuracy for characterizing marrow signal abnormalities?","Neil M. Kumar,Shivani Ahlawat,Laura M. Fayad",Neil M. Kumar,Laura M. Fayad
2018-Dec,Scientific Article,Some new angles on the magic angle: what MSK radiologists know and don’t know about this phenomenon,"Michael L. Richardson,Behrang Amini,Todd L. Richards",Michael L. Richardson,Todd L. Richards
2018-Dec,Scientific Article,MR evaluation of the meniscal ramp lesion in patients with anterior cruciate ligament tear,"Yujin Yeo,Joong Mo Ahn,Heung Sik Kang",Yujin Yeo,Heung Sik Kang
2018-Dec,Technical Report,T2-mapping of the sacroiliac joints at 1.5 Tesla: a feasibility and reproducibility study,"Domenico Albano,Vito Chianca,Massimo Galia",Domenico Albano,Massimo Galia
2018-Dec,Test Yourself: Question,Painful swelling in the proximal third of the arm,"Maria Pilar Aparisi Gómez,Francisco Aparisi,Alberto Bazzocchi",Maria Pilar Aparisi Gómez,Alberto Bazzocchi
2018-Dec,Case Report,Synovitis of the knee following a high-pressure injection injury with hydraulic oil,"Paulo A. Noronha,Ronaldo O. Lomelino,Edson Marchiori",Paulo A. Noronha,Edson Marchiori
2018-Dec,Case Report,Flexor carpi radialis brevis: case report of a symptomatic tear,"Anthony M. Kordahi,Kara L. Sarrel,Eric Y. Chang",Anthony M. Kordahi,Eric Y. Chang
2018-Dec,Case Report,Lipidus migrans—a radiology imaging feature after ankle injury,"Malwina Kaniewska,Lynne S. Steinbach,Suzanne E. Anderson",Malwina Kaniewska,Suzanne E. Anderson
2018-Dec,Test Yourself: Answer,Painful swelling in the proximal third of the arm,"Maria Pilar Aparisi Gómez,Francisco Aparisi,Alberto Bazzocchi",Maria Pilar Aparisi Gómez,Alberto Bazzocchi
2018-Dec,Correction,Correction to: Osteitis: a retrospective feasibility study comparing single-source dual-energy CT to MRI in selected patients with suspected acute gout,"Torsten Diekhoff,Michael Scheel,Kay Geert A. Hermann",Torsten Diekhoff,Kay Geert A. Hermann
2018-Dec,Browser's Notes,Browser's notes,,,
