Article Class,Article Titles,List of Article Author Names
Scientific Article,Magnetic resonance imaging follow-up of chondroid tumors: regression vs. progression,Bo Mi ChungSung Hwan HongDong Hyun Kim
Scientific Article,Gemelli-obturator complex in the deep gluteal space: an anatomic and dynamic study,Ramon BaliusAntonio SusínXavier Sala-Blanch
Scientific Article,Effect of sarcopenia on clinical and surgical outcome in elderly patients with proximal femur fractures,Ching-Di ChangJim S. WuColm J. Mcmahon
Scientific Article,Reproducibility of shear wave elastography measuresof the Achilles tendon,Catherine PaynePeter WattNick Webborn
Scientific Article,Adaptive statistical iterative reconstruction use for radiation dose reduction in pediatric lower-extremity CT: impact on diagnostic image quality,Amisha ShahMitchell ReesAshok Panigrahy
Scientific Article,The association of the medial joint vacuum phenomenon with ulnar collateral ligament injury in symptomatic elbows of younger athletes,Ryan TaiTyson BolinskeJacob C. Mandell
Scientific Article,Quantification of osteoblastic activity in epiphyseal growth plates by quantitative bone SPECT/CT,Tomohiko YamaneIchiei KujiIchiro Matsunari
Scientific Article,MR arthrography of the hip: diagnostic performance and image quality of 3D-steady state free precession versus 2D turbo spin echo sequences,Mareen Sarah KrausMike NotohamiprodjoUlrich Grosse
Scientific Article,Simultaneous multi-slice accelerated turbo spin echo of the knee in pediatric patients,Sebastien BenaliPatrick R. JohnstonSarah D. Bixby
Scientific Article,Hairline fractures following volar plating of the distal radius: a recently recognized hardware-related complication,Hila OtremskiOleg DolkartYishai Rosenblatt
Technical Report,Exploring metal artifact reduction using dual-energy CT with pre-metal and post-metal implant cadaver comparison: are implant specific protocols needed?,Ruud H. H. WellenbergJohanna C. E. DondersGeert J. Streekstra
Test Yourself: Question,Clavicle pain,Jing WuHarrison X. BaiZishu Zhang
Case Report,A posterior labral cyst associated with an anterior labral tear of the hip,Elizabeth ScottRobert WestermannJames Rosneck
Case Report,Aggressive curettage of a chondroblastoma-like osteosarcoma of the proximal end of the tibia. A case report with seven-year follow-up,Luis Rafael Ramos PascuaPaula Casas RamosFrancisco Miguel Izquierdo García
Case Report,Infiltrating angiolipoma of the foot: magnetic resonance imaging features and review of the literature,Eui Dong YeoBo Mi ChungWan Tae Kim
Case Report,Gouty involvement of the patella and extensor mechanism of the knee mimicking aggressive neoplasm. A case series,Christopher KesterMatthew T. WallaceAlbert Aboulafia
Case Report,Case report: vertebral foreign body granuloma mimicking a skeletal metastasis,Josephina A. VossenSeyed M. BathaiiCurtis W. Hayes
Case Report,Mosaic-pattern dedifferentiation in liposarcoma and chondrosarcoma: imaging features of an uncommon form of dedifferentiation,Kevin TaylorMark J. KransdorfMatthew A. Zarka
Case Report,Prosthetic liner wear in total hip replacement: a longitudinal 13-year study with computed tomography,Lars WeidenhielmHenrik OlivecronaMarilyn E. Noz
Test Yourself: Answer,Clavicle pain,Jing WuHarrison X. BaiZishu Zhang
Correction,Correction to: Triple elastofibromas located in the supra- and infrascapular regions—a case report,Cyprian OlchowyMatías de AlbertRosa Dominguez Oronoz
Browser's Notes,Browser’s Notes,
Abstracts,"Annual Scientific Meeting Abstracts of the European Society of Musculoskeletal Radiology (ESSR) 2018, Amsterdam, The Netherlands",
