Date,Article Class,Article Titles,List of Article Author Names
2018-Nov,Scientific Article,Evaluation of articular cartilage following rotational acetabular osteotomy for hip dysplasia using T2 mapping MRI,Takeshi ShojiTakuma YamasakiNobuo Adachi
2018-Nov,Scientific Article,MR arthrogram of the postoperative glenoid labrum: normal postoperative appearance versus recurrent tears,Christin A. Tiegs-HeidenNicholas G. RhodesBenjamin M. Howe
2018-Nov,Scientific Article,Ultrasound-guided steroid injection for the treatment of de Quervain’s disease: an anatomy-based approach,Jong-Hyun BingSoo-Jung ChoiDong-Rock Shin
2018-Nov,Scientific Article,Ultrasound measurements of axillary recess capsule thickness in unilateral frozen shoulder: study of correlation with MRI measurements,Du Hwan KimChul-Hyun ChoDuk Hyun Sung
2018-Nov,Scientific Article,Non-union rate of type II and III odontoid fractures in CPPD versus a control population,Aaron WoldJonelle Petscavage-ThomasEric A. Walker
2018-Nov,Scientific Article,Narrowing of ischiofemoral and quadratus femoris spaces in pediatric ischiofemoral impingement,Shlomit Goldberg-SteinAvi FriedmanBenjamin Taragin
2018-Nov,Scientific Article,Sonographic sequential change of the anteroinferior labrum following arthroscopic Bankart repair: quantitative and qualitative assessment,Masaki FukuyoshiTetsuya TakenagaKatsumasa Sugimoto
2018-Nov,Scientific Article,Surveillance MRI for the detection of locally recurrent Ewing sarcoma seems futile,Ömer KasalakAmelie DammannThomas C. Kwee
2018-Nov,Scientific Article,"Acute posterior cruciate ligament injuries: effect of location, severity, and associated injuries on surgical management",Mark A. AndersonF. Joseph SimeoneConnie Y. Chang
2018-Nov,Scientific Article,Three-material decomposition with dual-layer spectral CT compared to MRI for the detection of bone marrow edema in patients with acute vertebral fractures,Benedikt J. SchwaigerAlexandra S. GersingPeter B. Noël
2018-Nov,Scientific Article,"Effects of post-fracture non-weight-bearing immobilization on muscle atrophy, intramuscular and intermuscular adipose tissues in the thigh and calf",Akito YoshikoKoun YamauchiHiroshi Akima
2018-Nov,TEST YOURSELF: QUESTION,Acute right ankle pain in a 9-year-old boy without history of trauma,V. AppiahG. BoitsiosP. Simoni
2018-Nov,Case Report,Pacinian corpuscles: an explanation for subcutaneous palmar nodules routinely encountered on MR examinations,Nicholas G RhodesNaveen S. MurthyDavid A. Rubin
2018-Nov,Case Report,Metachronous multicentric giant cell tumour of bone,Navatha VangalaShantveer G. UppinP. Chandrasekhar
2018-Nov,Case Report,"The lucent (CT) and enhancing (MR) rim, a sign of Paget’s disease of the skull: case report",Myriame Bou AntounSalim KemelJean-Denis Laredo
2018-Nov,Case Report,Fibrous dysplasia: an unusual case of a very aggressive form with costo-vertebral joint destruction and invasion of the contralateral D7 vertebral body,Carmine ZoccaliDario AttalaVirginia Ferraresi
2018-Nov,Case Report,Widespread and debilitating hemangiomas in a patient with enchondromatosis and D-2-hydroxyglutaric aciduria,Patra YeetongTeerasak PhewplungVorasuk Shotelersuk
2018-Nov,Test Yourself: Answer,Acute right ankle pain in a 9-year-old boy without history of trauma,V. AppiahG. BoitsiosPaolo Simoni
2018-Nov,Browser's Notes,Browser’s notes,
