Date,Article Class,Article Titles,List of Article Author Names,First Author,Last Author
2019-Apr,Perspective,Revisiting tract seeding and compartmental anatomy for percutaneous image-guided musculoskeletal biopsies,Leanne L. Seeger,Leanne L. Seeger,Leanne L. Seeger
2019-Apr,Review Article,The current status of MRI in the pre-operative assessment of intramedullary conventional appendicular osteosarcoma,"Asif Saifuddin,Ban Sharif,Jeremy Whelan",Asif Saifuddin,Jeremy Whelan
2019-Apr,Review Article,Thalidomide and neurotrophism,"Judith R. Soper,S. Fiona Bonar,Hans-Georg Willert",Judith R. Soper,Hans-Georg Willert
2019-Apr,Scientific Article,Correlation of bone marrow cellularity and metabolic activity in healthy volunteers with simultaneous PET/MR imaging,"Takeshi Fukuda,Mingqian Huang,Chuan Huang",Takeshi Fukuda,Chuan Huang
2019-Apr,Scientific Article,Quantification of shoulder muscle intramuscular fatty infiltration on T1-weighted MRI: a viable alternative to the Goutallier classification system,"Derik L. Davis,Thomas Kesler,Jiachen Zhuo",Derik L. Davis,Jiachen Zhuo
2019-Apr,Scientific Article,Anterior capsular abnormality: another important MRI finding for the diagnosis of adhesive capsulitis of the shoulder,"Jina Park,Yoon-Hee Choi,Dong Hyun Kim",Jina Park,Dong Hyun Kim
2019-Apr,Scientific Article,Magnetic resonance imaging of the craniovertebral junction in early rheumatoid arthritis,"Marina Carotti,Fausto Salaffi,Andrea Giovagnoni",Marina Carotti,Andrea Giovagnoni
2019-Apr,Scientific Article,Ultrasound-guided injection for the diagnosis and treatment of posteromedial knee friction syndrome,"F. Joseph Simeone,Arvin Kheterpal,Martin Torriani",F. Joseph Simeone,Martin Torriani
2019-Apr,Scientific Article,A pilot study assessing T1-weighted muscle MRI in amyotrophic lateral sclerosis (ALS),"Luca Diamanti,Enrico Alfonsi,Anna Pichiecchio",Luca Diamanti,Anna Pichiecchio
2019-Apr,Scientific Article,Platelet-rich plasma vs. steroid injections for hamstring injury—is there really a choice?,"Peter Yong Soo Park,Chunyan Cai,Manickam Kumaravel",Peter Yong Soo Park,Manickam Kumaravel
2019-Apr,Scientific Article,Cone-beam CT measurements of distal tibio-fibular syndesmosis in asymptomatic uninjured ankles: does weight-bearing matter?,"Delaram Shakoor,Greg M. Osgood,Shadpour Demehri",Delaram Shakoor,Shadpour Demehri
2019-Apr,Scientific Article,Normal meniscal dimensions at different patient ages—MRI evaluation,"Maria A. Bedoya,Christian A. Barrera,Victor M. Ho-Fung",Maria A. Bedoya,Victor M. Ho-Fung
2019-Apr,Technical Report,Initial experience with dual-energy computed tomography-guided bone biopsies of bone lesions that are occult on monoenergetic CT,"Michael C. Burke,Ankur Garg,Imran M. Omar",Michael C. Burke,Imran M. Omar
2019-Apr,Technical Report,Modified technique for imaging the wrist and elbow in obese and claustrophobic patients using a non-open standard MRI scanner,"Nishant Gupta,Ian Karol,Daichi Hayashi",Nishant Gupta,Daichi Hayashi
2019-Apr,Test Yourself: Question,Worsening right hip pain,"Jafar A. Hussain,Sayed Ali,Omer A. Awan",Jafar A. Hussain,Omer A. Awan
2019-Apr,Case Report,Calcified leiomyoma of the deltoid: pathophysiology and imaging review,"Fauniel Rowland,Catherine Call,Wei-Lien Wang",Fauniel Rowland,Wei-Lien Wang
2019-Apr,Case Report,Extremity gossypiboma mimicking sarcoma: case report and review,"Varun Puvanesarajah,Laura M. Fayad,Carol D. Morris",Varun Puvanesarajah,Carol D. Morris
2019-Apr,Case Report,Desmoplastic fibroblastoma mimicking tenosynovial giant cell tumor encasing a tendon of the foot,"Sang Min Lee,Doo Hoe Ha,Young Rak Choi",Sang Min Lee,Young Rak Choi
2019-Apr,Case Report,Mesenchymal hamartoma of the chest wall in a 10-year-old girl mimicking malignancy: a case report,"Tomoko Tanaka,Shigehisa Fumino,Tatsuro Tajiri",Tomoko Tanaka,Tatsuro Tajiri
2019-Apr,Test Yourself: Answer,Worsening right hip pain,"Jafar A. Hussain,Sayed Ali,Omer A. Awan",Jafar A. Hussain,Omer A. Awan
2019-Apr,BROWSER'S NOTES,Browser’s notes,,,
