Date,Article Class,Article Titles,List of Article Author Names,First Author,Last Author
2019-Sep,Review Article,"High-resolution ultrasound of the fascia lata iliac crest attachment: anatomy, pathology, and image-guided treatment","Swati Deshmukh,Samir F. Abboud,Imran M. Omar",Swati Deshmukh,Imran M. Omar
2019-Sep,Review Article,Progressive pseudorheumatoid dysplasia: a report of three cases and a review of radiographic and magnetic resonance imaging findings,"Christy B. Pomeranz,Janet R. Reid",Christy B. Pomeranz,Janet R. Reid
2019-Sep,Review Article,The peroneus longus muscle and tendon: a review of its anatomy and pathology,"James Thomas Patrick Decourcy Hallinan,Wilbur Wang,Brady K. Huang",James Thomas Patrick Decourcy Hallinan,Brady K. Huang
2019-Sep,Scientific Article,Cementoplasty of pelvic bone metastases: systematic assessment of lesion filling and other factors that could affect the clinical outcomes,"Thomas P. Moser,Marta Onate,Véronique Freire",Thomas P. Moser,Véronique Freire
2019-Sep,Scientific Article,Central osteophytes develop in cartilage with abnormal structure and composition: data from the Osteoarthritis Initiative cohort,"Martin Kretzschmar,Ursula Heilmeier,Thomas M. Link",Martin Kretzschmar,Thomas M. Link
2019-Sep,Scientific Article,Torque application helps to diagnose incomplete syndesmotic injuries using weight-bearing computed tomography images,"Nicola Krähenbühl,Travis L. Bailey,Alexej Barg",Nicola Krähenbühl,Alexej Barg
2019-Sep,Scientific Article,Tenosynovial fluid as an indication of early posterior tibial tendon dysfunction in patients with normal tendon appearance,"Felix M. Gonzalez,Elie Harmouche,Jason Bariteau",Felix M. Gonzalez,Jason Bariteau
2019-Sep,Scientific Article,Percutaneous image-guided bone biopsy of osteomyelitis in the foot and pelvis has a low impact on guiding antibiotics management: a retrospective analysis of 60 bone biopsies,"Nicholas Said,Majid Chalian,Nicholas C. Nacey",Nicholas Said,Nicholas C. Nacey
2019-Sep,Scientific Article,Image intensifier distortion influences a surgeon’s ability to aim guidewires during orthopaedic procedures,"Thomas R. Ward,Ben Schwarz,Paul N. Smith",Thomas R. Ward,Paul N. Smith
2019-Sep,Scientific Article,Needle tenotomy with PRP versus lidocaine in epicondylopathy: clinical and ultrasonographic outcomes over twenty months,"Jose Ignacio Martin,Leire Atilano,Isabel Andia",Jose Ignacio Martin,Isabel Andia
2019-Sep,Scientific Article,Fibular head avulsion fractures accompanying operative treated medial tibial plateau fractures,"Tarvo Sillat,Markus Parkkinen,Seppo K. Koskinen",Tarvo Sillat,Seppo K. Koskinen
2019-Sep,Scientific Article,Are patients more likely to have hip osteoarthritis progression and femoral head collapse after hip steroid/anesthetic injections? A retrospective observational study,"F. Joseph Simeone,Joao R. T. Vicentini,Connie Y. Chang",F. Joseph Simeone,Connie Y. Chang
2019-Sep,Scientific Article,Reliability and diagnostic utility of radiographs in patients with incomplete atypical femoral fractures,"Ulas Akgun,Umut Canbek,Nevres Hurriyet Aydogan",Ulas Akgun,Nevres Hurriyet Aydogan
2019-Sep,Technical Report,Semi-dynamic MRI of climbing-associated injuries of the finger,"Frank Schellhammer,Andreas Vantorre",Frank Schellhammer,Andreas Vantorre
2019-Sep,Case Report,Isolated posterior cruciate ligament aplasia: a case report,"Nicolás García,A. Debandi,M. Verdugo",Nicolás García,M. Verdugo
2019-Sep,Case Report,Chondrosarcoma arising within synovial chondromatosis of the lumbar spine,"Laurel A. Littrell,Carrie Y. Inwards,Doris E. Wenger",Laurel A. Littrell,Doris E. Wenger
2019-Sep,Case Report,Hourglass-like constriction neuropathy of the suprascapular nerve detected by high-resolution magnetic resonance neurography: report of three patients,"Du Hwan Kim,Jaelim Kim,Duk Hyun Sung",Du Hwan Kim,Duk Hyun Sung
2019-Sep,Case Report,Fibroma of the patellar tendon sheath—a rare case in a young boy,"Khushboo Pilania,Bhavin Jankharia,Fayaz W. Memon",Khushboo Pilania,Fayaz W. Memon
2019-Sep,Browser’s Notes,Browser’s notes,,,
2019-Sep,Abstract,"Annual Scientific Meeting Abstracts of the Australasian Musculoskeletal Imaging Group (AMSIG) 2019, Queenstown, New Zealand",,,
2019-Sep,Abstract,"Annual Meeting Abstracts of the International Skeletal Society (ISS) 2019, Vancouver, Canada",,,
