Date,Article Class,Article Titles,List of Article Author Names,First Author,Last Author
2020-Jan,Review Article,MRI of the distal tibiofibular joint,"Ban Sharif,Matthew Welck,Asif Saifuddin",Ban Sharif,Asif Saifuddin
2020-Jan,Review Article,Reverse total shoulder arthroplasty: an imaging overview,"Dong Hyun Lee,Yun Sun Choi,Tong Jin Chun",Dong Hyun Lee,Tong Jin Chun
2020-Jan,Review Article,Imaging in Lisfranc injury: a systematic literature review,"Yantarat Sripanich,Maxwell W. Weinberg,Alexej Barg",Yantarat Sripanich,Alexej Barg
2020-Jan,Scientific Article,"The value of radiographic markers in the diagnostic work-up of rotator cuff tears, an arthroscopic correlated study","Jeroen J. van der Reijden,Syert L. Nienhuis,Maaike P. J. van den Borne",Jeroen J. van der Reijden,Maaike P. J. van den Borne
2020-Jan,Scientific Article,Magnetic resonance evaluation of the pediatric knee after arthroscopic fixation of osteochondral lesions with biodegradable nails,"Jie C. Nguyen,Daniel W. Green,Yoshimi Endo",Jie C. Nguyen,Yoshimi Endo
2020-Jan,Scientific Article,A novel morphological classification for the femoral notch based on MRI: a simple and effective assessment method for the femoral notch,"Chengyuan Zhang,Guoming Xie,Jinzhong Zhao",Chengyuan Zhang,Jinzhong Zhao
2020-Jan,Scientific Article,Rachitic change and vitamin D status in young children with fractures,"Sabah Servaes,Lisa States,Cindy W. Christian",Sabah Servaes,Cindy W. Christian
2020-Jan,Scientific Article,The lipid-poor hemangioma: an investigation into the behavior of the “atypical” hemangioma,"J.M. Hoyle,L.J. Layfield,J. Crim",J.M. Hoyle,J. Crim
2020-Jan,Scientific Article,Regional muscle changes in adult dysfunctional hip conditions of femoroacetabular impingement and hip dysplasia,"Majid Chalian,Natalie Schauwecker,Joel Wells",Majid Chalian,Joel Wells
2020-Jan,Scientific Article,Extraneural perineurioma: CT and MRI imaging characteristics,"Stephen M. Broski,Laurel A. Littrell,Doris E. Wenger",Stephen M. Broski,Doris E. Wenger
2020-Jan,Scientific Article,Whole-body MRI in assessing malignant transformation in multiple hereditary exostoses and enchondromatosis: audit results and literature review,"Anne Grethe Jurik,Peter Holmberg Jørgensen,Mikkel Meng Mortensen",Anne Grethe Jurik,Mikkel Meng Mortensen
2020-Jan,Scientific Article,Core curriculum online lecture series in musculoskeletal imaging: initial results,"Lawrence M. White,David A. Rubin,Michael P. Recht",Lawrence M. White,Michael P. Recht
2020-Jan,Scientific Article,CT and MR imaging findings of solitary nevus lipomatosus cutaneous superficialis: radiological–pathological correlation,"Masaya Kawaguchi,Hiroki Kato,Masayuki Matsuo",Masaya Kawaguchi,Masayuki Matsuo
2020-Jan,Technical Report,T2 distribution profiles are a good way to show cartilage regional variabilities and cartilage insufficiency,"Ž. Snoj,J. Vidmar,V. Salapura",Ž. Snoj,V. Salapura
2020-Jan,Case Report,Acetabular avascular necrosis following high-dose steroid treatment and chemotherapy for leukemia,"Daud Tai Shan Chou,Mark Taylor,Lucian Bogdan Solomon",Daud Tai Shan Chou,Lucian Bogdan Solomon
2020-Jan,Case Report,IgG4-related disease: rare presentation as a soft-tissue mass in the thigh of an adolescent,"Maud Creze,Sofia Boussebaa,Charles Court",Maud Creze,Charles Court
2020-Jan,Case Report,Chondroid lipoma: multimodality imaging in a 9-year-old female,"Melissa Tannenbaum,Philip G. Colucci,Arzu Kovanlikaya",Melissa Tannenbaum,Arzu Kovanlikaya
2020-Jan,Meeting Highlights,"Highlights of the annual scientific meeting of the Society of Skeletal Radiology (SSR) 2019, Scottsdale, Arizona, USA","Michael G. Fox,Laura W. Bancroft",Michael G. Fox,Laura W. Bancroft
2020-Jan,Letter to the Editor,Re: Osteoma-like melorheostosis: a rare type of skeletal dysplasia depicted on FDG PET/CT,Michael J. Klein,Michael J. Klein,Michael J. Klein
2020-Jan,Letter to the Editor,Response to: letter to the editor re: Osteoma-like melorheostosis: a rare type of skeletal dysplasia depicted on FDG PET/CT,"Alain S. Abi-Ghanem,Karl Asmar,Fouad Boulos",Alain S. Abi-Ghanem,Fouad Boulos
2020-Jan,Browser's Notes,Browser’s Notes,,,
