Date,Article Class,Article Titles,List of Article Author Names,First Author,Last Author
2021-Aug,Review Article,The rare primary bone sarcomas: imaging-pathological correlation,"Rupert Berkeley,Vanghelita Andrei,Asif Saifuddin",Rupert Berkeley,Asif Saifuddin
2021-Aug,Review Article,Ultrasound findings of plantar plate tears of the lesser metatarsophalangeal joints,"Catherine L. Mc,Carthy,Graeme V. Thompson",Catherine L. Mc,Graeme V. Thompson
2021-Aug,Review Article,Imaging following surgery for primary appendicular bone tumours,"Imran Khan,Craig Gerrand,Asif Saifuddin",Imran Khan,Asif Saifuddin
2021-Aug,Scientific Article,Morphology of the entering and exiting nerve as a differentiating feature of benign from malignant peripheral nerve sheath tumours of the brachial plexus,"I. Pressney,M. Khoo,A. Saifuddin",I. Pressney,A. Saifuddin
2021-Aug,Scientific Article,Proximal femoral epiphyseal spurs and their association with acetabular labral tears on MRI in symptomatic patients,"Haron Obaid,Samuel Pike,David A. Leswick",Haron Obaid,David A. Leswick
2021-Aug,Scientific Article,Characteristics of medial gutter arthritis on weightbearing CT and plain radiograph,"Ji-Beom Kim,Chul Hyun Park,Woo-Chun Lee",Ji-Beom Kim,Woo-Chun Lee
2021-Aug,Scientific Article,Limited usefulness of classic MR findings in the diagnosis of tenosynovial giant cell tumor,"Julia Crim,Samantha L Dyroff,Lester J Layfield",Julia Crim,Lester J Layfield
2021-Aug,Scientific Article,Subluxation of the extensor carpi ulnaris on magnetic resonance imaging on neutral wrist position: correlation with tenosynovitis of the extensor carpi ulnaris and translation of the distal radioulnar joint,"Ji Na Kim,Soon Tae Kwon,Hyun Dae Shin",Ji Na Kim,Hyun Dae Shin
2021-Aug,Scientific Article,Accuracy of magnetic resonance imaging of the wrist for clinically important lesions of the major interosseous ligaments and triangular fibrocartilage complex; correlation with radiocarpal arthroscopy,"Nick Daunt,Gregory B. Couzens,Mark Ross",Nick Daunt,Mark Ross
2021-Aug,Scientific Article,Influence of pregnancy/childbirth on long-term bone marrow edema and subchondral sclerosis of sacroiliac joints,"Christoph Germann,Daniela Kroismayr,Veronika Zubler",Christoph Germann,Veronika Zubler
2021-Aug,Scientific Article,Magnetic resonance imaging evaluation of patients with clinically diagnosed medial Epicondylitis,"Kee Jeong Bae,Chulhee Park,Hyun Sik Gong",Kee Jeong Bae,Hyun Sik Gong
2021-Aug,Scientific Article,MRI features of low-grade and high-grade chondrosarcoma in enchondromatosis,"Ban Sharif,Ramanan Rajakulasingam,Asif Saifuddin",Ban Sharif,Asif Saifuddin
2021-Aug,Scientific Article,Subscapularis (SSC) tendon tears: diagnostic performance and reliability of magnetic resonance arthrography (MRA) with arthroscopic correlation and comparison with clinical tests,"Eun Kyung Khil,Jung-Ah Choi,Joo Han Oh",Eun Kyung Khil,Joo Han Oh
2021-Aug,Scientific Article,Chordoma: 18F-FDG PET/CT and MRI imaging features,"Joshua T. Olson,Doris E. Wenger,Stephen M. Broski",Joshua T. Olson,Stephen M. Broski
2021-Aug,Scientific Article,Limitations of dual-energy CT in the detection of monosodium urate deposition in dense liquid tophi and calcified tophi,"Se Jin Ahn,Dawen Zhang,John D. Fitz,Gerald",Se Jin Ahn,Gerald
2021-Aug,Scientific Article,The diagnostic performance of conventional ultrasound and strain elastography in malignant soft tissue tumors,"Yanping Dou,Jianyuan Xuan,Shaowu Wang",Yanping Dou,Shaowu Wang
2021-Aug,Scientific Article,"Accessory abductor digiti minimi muscle, less muscular than thought: an update on prevalence, morphology, and review of the literature","Allison Rixey,Doris Wenger,Gavin Mc,Kenzie",Allison Rixey,Kenzie
2021-Aug,Scientific Article,Musculature adaption in patients with lumbosacral transitional vertebrae: a matched-pair analysis of 46 patients,"Luis Becker,Katharina Ziegeler,Friederike Schömig",Luis Becker,Friederike Schömig
2021-Aug,Technical Report,Fast field echo resembling a CT using restricted echo-spacing (FRACTURE): a novel MRI technique with superior bone contrast,"Brian Johnson,Hamza Alizai,Molly Dempsey",Brian Johnson,Molly Dempsey
2021-Aug,Test Yourself: Question,Skeletal scintigraphy for a patient with a hip fracture,"I. A. Siddiqui,R. Botchu,A. Iqbal",I. A. Siddiqui,A. Iqbal
2021-Aug,Case Report,COVID-19 related muscle denervation atrophy,"S. Bahouth,K. Chuang,D. Rosenthal",S. Bahouth,D. Rosenthal
2021-Aug,Case Report,"Histoplasmosis tenosynovitis of the forearm and wrist: imaging, surgical and pathologic findings","Fernando Ometto Zorzenoni,Thomas M. Link,Julio Brandão Guimarães",Fernando Ometto Zorzenoni,Julio Brandão Guimarães
2021-Aug,Case Report,Primary osteosarcoma of the parietal bone,"Sara Ramezanpour,Andrew E. Horvai,Thomas M. Link",Sara Ramezanpour,Thomas M. Link
2021-Aug,Test Yourself: Answer,Skeletal scintigraphy for a patient with a hip fracture,"I. A. Siddiqui,R. Botchu,A. Iqbal",I. A. Siddiqui,A. Iqbal
2021-Aug,Browser's Notes,Browser's Notes,,,
