Date,Article Class,Article Titles,List of Article Author Names,First Author,Last Author
2021-Jun,Review Article,Spine trauma: Radiological approach and new concepts,"Renato Masson de Almeida Prado,José Luiz Masson de Almeida Prado,Julio B. Guimarães",Renato Masson de Almeida Prado,Julio B. Guimarães
2021-Jun,Review Article,Skeletal staging in Langerhans cell histiocytosis: a multimodality imaging review,"Ramanan Rajakulasingam,Mateen Siddiqui,Asif Saifuddin",Ramanan Rajakulasingam,Asif Saifuddin
2021-Jun,Review Article,MRI findings of chronic distal tendon biceps reconstruction and associated post-operative findings,"Dylan N. Greif,Samuel H. Huntley,Jean Jose",Dylan N. Greif,Jean Jose
2021-Jun,Scientific Article,Bone biopsy results in patients with a history of malignancy: a case series of 378 patients,"Rhys Morris,Karen Shepherd,Paul Cool",Rhys Morris,Paul Cool
2021-Jun,Scientific Article,Symptomatic COVID-19 infections in outpatient image-guided corticosteroid injection patients during the lockdown phase,"Connie Y. Chang,Anand Prabhakar,Miriam A. Bredella",Connie Y. Chang,Miriam A. Bredella
2021-Jun,Scientific Article,Increased sagittal diameter of the vertebral arch aids in diagnosis of lumbar spondylolysis,"Shi-Zheng Chen,An-Ni Tong,Jun-Wei Zhang",Shi-Zheng Chen,Jun-Wei Zhang
2021-Jun,Scientific Article,The incidence and diagnostic relevance of pathological fracture in conventional central chondrosarcoma,"Abdulaziz Alqubaisi,Ines Oliveira,Asif Saifuddin",Abdulaziz Alqubaisi,Asif Saifuddin
2021-Jun,Scientific Article,Morphometric analysis of the incisura fibularis in patients with unstable high ankle sprains,"Wouter Huysse,Arne Burssens,Emmanuel A. Audenaert",Wouter Huysse,Emmanuel A. Audenaert
2021-Jun,Scientific Article,Incidental findings detected on preoperative CT imaging obtained for robotic-assisted joint replacements: clinical importance and the effect on the scheduled arthroplasty,"Gary Tran,Lafi S. Khalil,Steven B. Soliman",Gary Tran,Steven B. Soliman
2021-Jun,Scientific Article,Femoral neck shaft angle in relation to the location of femoral stress fracture in young military recruits: femoral head versus femoral neck stress fracture,"Dong-Kyu Kim,Tae Ho Kim",Dong-Kyu Kim,Tae Ho Kim
2021-Jun,Scientific Article,Percutaneous ultrasound-guided ganglion fenestration in children: initial results,"Erica K. Schallert,Melissa C. Cano,J. Herman Kan",Erica K. Schallert,J. Herman Kan
2021-Jun,Scientific Article,Prospective and longitudinal evolution of postoperative periprosthetic findings on metal artifact–reduced MR imaging in asymptomatic patients after uncemented total hip arthroplasty,"Christoph Germann,Lukas Filli,Reto Sutter",Christoph Germann,Reto Sutter
2021-Jun,Scientific Article,Incidental long bone cartilage lesions: is any further imaging workup needed?,"Sagheer Ahmed,Shams Jubouri,Michael Mulligan",Sagheer Ahmed,Michael Mulligan
2021-Jun,Scientific Article,Additive values of pelvic tomosynthesis in comparison to pelvic radiography alone for the diagnosis of sacroiliitis in patients with suspected axial spondyloarthritis,"Euddeum Shim,Taeho Ha,Jaehyung Cha",Euddeum Shim,Jaehyung Cha
2021-Jun,Scientific Article,"Comparison of in-phase and opposed-phase T1W gradient echo and T2W fast spin echo dixon chemical shift imaging for the assessment of non-neoplastic, benign neoplastic and malignant marrow lesions","Asif Saifuddin,Hassan Shafiq,Ian Pressney",Asif Saifuddin,Ian Pressney
2021-Jun,Technical Report,Preoperative sonographic ulnar nerve mapping in the postoperative elbow,"Garret M. Powell,Francis I. Baffour,Katrina N. Glazebrook",Garret M. Powell,Katrina N. Glazebrook
2021-Jun,Technical Report,Cryoanalgesia of the anterior femoral cutaneous nerve (AFCN) for the treatment of neuropathy-mediated anterior thigh pain: anatomy and technical description,"Danoob Dalili,Shivani Ahlawat,Jan Fritz",Danoob Dalili,Jan Fritz
2021-Jun,Test Yourself: Question,Test yourself question: right medial hip pain,"E Smith,R Rajakulasingam,R Botchu",E Smith,R Botchu
2021-Jun,Case Report,Subluxing fractured plantar fat pad: a case series and description of novel sonographic findings,"Walter I. Sussman,David J. Park,Yung H. Chen",Walter I. Sussman,Yung H. Chen
2021-Jun,Case Report,Novel observations of Pacinian corpuscle distribution in the hands and feet based on high-resolution 7-T MRI in healthy volunteers,"Christoph Germann,Reto Sutter,Daniel Nanz",Christoph Germann,Daniel Nanz
2021-Jun,Case Report,BRAF inhibitor-induced panniculitis in patients treated for stage IV metastatic melanoma: a case series,"David J. Bartlett,Andrew J. Erie,Katrina N. Glazebrook",David J. Bartlett,Katrina N. Glazebrook
2021-Jun,Case Report,Transarticular epithelioid hemangioma of the ankle—a case of a rare vascular neoplasm,"Nikolett Marton,Irma Ramos-Oliver,Rosa Dominguez Oronoz",Nikolett Marton,Rosa Dominguez Oronoz
2021-Jun,Test Yourself: Answer,Answer To Test Yourself Question: Right medial hip pain,"E. Smith,R. Rajakulasingam,R. Botchu",E. Smith,R. Botchu
2021-Jun,Browser's Notes,Browser’s Notes,,,
