Date,Article Class,Article Titles,List of Article Author Names
2022-Jan,Editorial,Skeletal radiology special publications,Mark J. Kransdorf
2022-Jan,Editorial,Introduction to the special section on multiple myeloma,Connie Y. ChangWilliam E. Palmer
2022-Jan,Perspective,Floccinaucinihilipilification: is there a continuing role for the radiographic skeletal survey?,Daniel I. Rosenthal
2022-Jan,Review Article,Myeloma Response Assessment and Diagnosis System (MY-RADS): strategies for practice implementation,Michael E. Mulligan
2022-Jan,Review Article,"Plasma cell myeloma: role of histopathology, immunophenotyping, and genetic testing",Megan J. FitzpatrickValentina NardiAliyah R. Sohani
2022-Jan,Review Article,Role of FDG PET in the staging of multiple myeloma,Joao R. T. VicentiniMiriam A. Bredella
2022-Jan,Review Article,Whole-body magnetic resonance imaging (WBMRI) versus whole-body computed tomography (WBCT) for myeloma imaging and staging,Karla M. TreitlJens RickeAndrea Baur-Melnyk
2022-Jan,Review Article,Imaging of treatment response and minimal residual disease in multiple myeloma: state of the art WB-MRI and PET/CT,Frederic E. LecouvetMarie-Christiane VekemansBruno C. Vande Berg
2022-Jan,Review Article,Bone marrow aspiration and biopsy: techniques and practice implications,Anderanik TomasianJack W. Jennings
2022-Jan,Review Article,Diffuse vertebral marrow changes at MRI: Multiple myeloma or normal?,B. C. Vande BergT. KirchgesnerF. E. Lecouvet
2022-Jan,Review Article,Review of diffusion-weighted imaging and dynamic contrast–enhanced MRI for multiple myeloma and its precursors (monoclonal gammopathy of undetermined significance and smouldering myeloma),Thomas Van Den BergheKoenraad L. VerstraeteJulie Dutoit
2022-Jan,Review Article,Oncologist perspective: role of imaging in myeloma,Yael N. ShapiroElizabeth K. O’Donnell
2022-Jan,Review Article,Multiple myeloma: a review of atypical imaging features and other distinct plasma cell disorders that demonstrate similar imaging features,Rupert O. StanboroughHillary W. Garner
2022-Jan,Scientific Article,Clinical evaluation of a phantom-based deep convolutional neural network for whole-body-low-dose and ultra-low-dose CT skeletal surveys,Nathan HuberTara AndersonKatrina N. Glazebrook
2022-Jan,Scientific Article,Ultra-low-dose cone-beam CT compared to standard dose in the assessment for acute fractures,M. C. MurphyB. GibneyP. J. MacMahon
2022-Jan,Scientific Article,Assessing the impact of adding bupivacaine on immediate and delayed post-procedure pain scores in interlaminar epidural steroid injections,Cody R. QuirkAnthony OnofrioNicholas C. Nacey
2022-Jan,Scientific Article,Reporting errors in plain radiographs for lower limb trauma—a systematic review and meta-analysis,Thomas YorkChristopher FranklinDarren Leong
2022-Jan,Scientific Article,The popliteofibular ligament: a cadaveric ultrasound study,Przemysław A. PękalaEwa MiziaMarcin Domżalski
2022-Jan,Scientific Article,Osteochondritis dissecans of the talar dome in patients with tarsal coalition,Karen Y. ChengPraman FuangfaEdward Smitaman
2022-Jan,Test Yourself: Question,Test yourself question: a 19-year-old male presents with progressive distal lower limb pain,Ramanan RajakulasingamMiriam FicialAsif Saifuddin
2022-Jan,Test Yourself: Question,Enlarging knee masses,Hatem MawiDenis GravelZaid Jibri
2022-Jan,Case Report,"A unique case of adamantinoma-like Ewing sarcoma in the calcaneus, exhibiting prominent squamous differentiation and displaying EWSR1 gene rearrangement",Bharat RekhiRushabh KothariMandip C. Shah
2022-Jan,Case Report,Post-arthrogram synovitis: MRI and histopathologic findings,Alexander OserowskyLester J. LayfieldJulia Crim
2022-Jan,Test Yourself: Answer,Answer To Test Yourself Question: A 19-year-old male presents with progressive distal lower limb pain,R. Ramanan RajakulasingamMiriam FicialAsif Saifuddin
2022-Jan,Test Yourself: Answer,Enlarging knee masses,Hatem MawiDenis GravelZaid Jibri
2022-Jan,Correction,Correction to: MRI features of ERSA (exercise‑related signal abnormality) lesions in professional soccer players,James S. B. KhoRajesh BotchuSteven L. James
