Date,Article Class,Article Titles,List of Article Author Names,First Author,Last Author
2022-Jul,Review Article,Acute changes in knee cartilage and meniscus following long-distance running in habituate runners: a systematic review on studies using quantitative magnetic resonance imaging,"Dingbo Shu,Feng Chen,Siyu Dai",Dingbo Shu,Siyu Dai
2022-Jul,Review Article,Anterior cruciate ligament reconstruction related complications: 2D and 3D high-resolution magnetic resonance imaging evaluation,"Uma Thakur,Vaibhav Gulati,Avneesh Chhabra",Uma Thakur,Avneesh Chhabra
2022-Jul,Perspective,The Dixon method in musculoskeletal MRI: from fat-sensitive to fat-specific imaging,Patrick Omoumi,Patrick Omoumi,Patrick Omoumi
2022-Jul,Scientific Article,Computed tomography-based body composition profile as a screening tool for geriatric frailty detection,"Olga Laur,Michael J. Weaver,Bharti Khurana",Olga Laur,Bharti Khurana
2022-Jul,Scientific Article,Medial patellofemoral ligament MRI abnormalities in the setting of MCL injuries: are they clinically relevant?,"Mark S. Collins,Christin A. Tiegs-Heiden,Michael D. Brandt",Mark S. Collins,Michael D. Brandt
2022-Jul,Scientific Article,Occult fracture propagation in patients with isolated greater trochanteric fractures: patterns and management,"Pamela J. Walsh,Mobeen Farooq,Daniel M. Walz",Pamela J. Walsh,Daniel M. Walz
2022-Jul,Scientific Article,Morphological changes in the superficial medial collateral ligament on knee MR imaging: association with medial meniscal extrusion and posterior root medial meniscus abnormality,"So Jin Yoon,Joong Mo Ahn,Heung-Sik Kang",So Jin Yoon,Heung-Sik Kang
2022-Jul,Scientific Article,Piriformis syndrome: muscle thickness or volume does not correlate with response to CT-guided injection,"Rocco Hlis,Kevin Yan,Avneesh Chhabra",Rocco Hlis,Avneesh Chhabra
2022-Jul,Scientific Article,Comparison of AI-powered 3D automated ultrasound tomography with standard handheld ultrasound for the visualization of the hands—clinical proof of concept,"Jonas M. Getzmann,Malwina Kaniewska,Roman Guggenberger",Jonas M. Getzmann,Roman Guggenberger
2022-Jul,Scientific Article,Do Patients Really Have Pain with Quadriceps Fat Pad Edema?,"Merve Şam Özdemir,Elif Evrim Ekin,Zeynep Nihal Kazcı",Merve Şam Özdemir,Zeynep Nihal Kazcı
2022-Jul,Scientific Article,Novel anterior coracoglenoid line utilizing magnetic resonance imaging (MRI) corresponds with critical glenoid bone loss,"Neil Olmscheid,Stanley D. Crawford,Patrick Joyner",Neil Olmscheid,Patrick Joyner
2022-Jul,Scientific Article,Juxtaneural ganglia arising from the hip joint: focus on magnetic resonance imaging findings and clinical manifestations,"Nari Shin,Hyun Su Kim,Min Jae Cha",Nari Shin,Min Jae Cha
2022-Jul,Scientific Article,Magnetic resonance imaging in the evaluation of cervical foraminal stenosis: comparison of 3D T2 SPACE with sagittal oblique 2D T2 TSE,"I. Barnaure,J. Galley,R. Sutter",I. Barnaure,R. Sutter
2022-Jul,Scientific Article,Diagnostic ultrasound of tendon injuries in the setting of distal radius fractures,"Simon Sun,Christian Geannette,Yoshimi Endo",Simon Sun,Yoshimi Endo
2022-Jul,Scientific Article,Diagnosing ulnar neuropathy at the elbow on MRI: importance of the longitudinal extent of the hyperintense ulnar nerve,"Sujin Kim,Bo Mi Chung,Young Lee",Sujin Kim,Young Lee
2022-Jul,Technical Report,Improving visualization of the articular cartilage of the knee with magnetic resonance imaging under axial traction: a comparative study of different traction weights,"Naoya Kikuchi,Sho Kohyama,Masashi Yamazaki",Naoya Kikuchi,Masashi Yamazaki
2022-Jul,Technical Report,"Multidisciplinary, articular surface-preserving treatment strategy for locally aggressive epithelioid hemangioma of the acetabulum employing serial bland transarterial embolization","Salim Abboud,Aashish Bhatt,Patrick Getty",Salim Abboud,Patrick Getty
2022-Jul,Test Yourself: Question,Painful suprapatellar mass,"Carol Pui Yang Chien,Victor Kam Ho Lee",Carol Pui Yang Chien,Victor Kam Ho Lee
2022-Jul,Case Report,Multicentric infantile myofibromatosis with extensive involvement limited to bone,"María Luque-Cabal,Estíbaliz Obregón-Martínez,Gabriel Fernández-Pérez",María Luque-Cabal,Gabriel Fernández-Pérez
2022-Jul,Case Report,Deep vein thrombosis in the thigh: MR imaging in two cases with atypical presentations,"Yeon Soo Lee,Jichang Kim,Jae Jung Jeong",Yeon Soo Lee,Jae Jung Jeong
2022-Jul,Test Yourself: Answer,Painful suprapatellar mass,"Carol Pui Yang Chien,Victor Kam Ho Lee",Carol Pui Yang Chien,Victor Kam Ho Lee
