Date,Article Class,Article Titles,List of Article Author Names
2019-Jan,Review Article,Injuries of the adolescent girl athlete: a review of imaging findings,Kimberly ShampainKara Gaetke-UdagerCorrie M. Yablon
2019-Jan,Meeting Highlights,"Highlights of the Annual Scientific Meeting of the Society of Skeletal Radiology (SSR) 2018, Austin, Texas, USA",Michael G. FoxLaura W. Bancroft
2019-Jan,Review Article,Imaging bicipitoradial bursitis: a pictorial essay,Sheau Huey YapJames Francis GriffithRyan Ka Lok Lee
2019-Jan,Review Article,Sonographic and radiographic findings of posterior tibial tendon dysfunction: a practical step forward,Steven B. SolimanPaul J. SpicerMarnix T. van Holsbeeck
2019-Jan,Review Article,Fragility fractures of the proximal femur: review and update for radiologists,Kimia Khalatbari KaniJack A. PorrinoFelix S. Chew
2019-Jan,Review Article,Graft use in the treatment of large and massive rotator cuff tears: an overview of techniques and modes of failure with MRI correlation,Kyle R. DuchmanDayne T. MickelsonGrant E. Garrigues
2019-Jan,Review Article,"Sonographic evaluation of uncommonly assessed upper extremity peripheral nerves: anatomy, technique, and clinical syndromes",Jonathan M. YoungnerKulia MatsuoImran M. Omar
2019-Jan,Correction,"Correction to: Sonographic evaluation of uncommonly assessed upper extremity peripheral nerves: anatomy, technique, and clinical syndromes",Jonathan M. YoungnerKulia MatsuoImran M. Omar
2019-Jan,Scientific Article,"Baseline knee joint effusion and medial femoral bone marrow edema, in addition to MRI-based T2 relaxation time and texture measurements of knee cartilage, can help predict incident total knee arthroplasty 4–7 years later: data from the Osteoarthritis Initiative",Ursula HeilmeierJohn Mbapte WambaThomas M. Link
2019-Jan,Scientific Article,Diagnostic accuracy of an abbreviated MRI protocol for detecting radiographically occult hip and pelvis fractures in the elderly,Andrew B. RossBrian Y. ChanKenneth S. Lee
2019-Jan,Scientific Article,Imaging features of phosphaturic mesenchymal tumors,Stephen M. BroskiAndrew L. FolpeDoris E. Wenger
2019-Jan,Scientific Article,Patterns of tendon retraction in full-thickness rotator cuff tear: comparison of delaminated and nondelaminated tendons,Guillaume BierryWilliam E. Palmer
2019-Jan,Scientific Article,Interobserver variability and stiffness measurements of normal common extensor tendon in healthy volunteers using shear wave elastography,Halit Nahit ŞendurEmetullah CindilSuna Özhan Oktar
2019-Jan,Scientific Article,Second opinions in orthopedic oncology imaging: can fellowship training reduce clinically significant discrepancies?,Aleksandr RozenbergBarry E. KenneallyAdam C. Zoga
2019-Jan,Test Yourself: Question,Test Yourself Question: Enlarging right thigh mass,Ban SharifAsif Saifuddin
2019-Jan,Case Report,Mutational analysis of high-grade spindle cell sarcoma of the femur in Mazabraud’s syndrome,Michele CallejaFernanda AmaryPaul O’Donnell
2019-Jan,Case Report,Case report: Broad insertion of a large subscapularis tendon in association with congenital absence of the long head of the biceps tendon,Jad M. El AbiadDaniel G. FaddoulHasan Baydoun
2019-Jan,Case Report,Ganglion cyst arising from the transverse acetabular ligament (TAL): a rare cause of entrapment of the anterior branch of the obturator nerve. Case report and review of the literature,Alessandro VidoniSatyanarayana T. V. SankaraRajesh Botchu
2019-Jan,Case Report,Post-traumatic cyst-like lesion of cortical bone in children,Gonçalo FreireRita CruzP. Diana Afonso
2019-Jan,Test Yourself: Answer,Enlarging right thigh mass,Ban SharifAsif Saifuddin
2019-Jan,Browser's Notes,Browser's notes,
2019-Jan,Scientific Article,Sonoelastographic evaluation of the sciatic nerve in patients with unilateral lumbar disc herniation,Umut Orkun ÇelebiVeysel BuruldayMehmet Hüseyin Akgül
2019-Feb,Scientific Article,Can effusion-synovitis measured on ultrasound or MRI predict response to intra-articular steroid injection in hip osteoarthritis?,K. J. D. SteerG. P. BostickJ. L. Jaremko
2019-Feb,Scientific Article,Incidence of rotator cuff tears in the setting of calcific tendinopathy on MRI: a case controlled comparison,Nicholas M. BeckmannMichael Q. TranChunyan Cai
2019-Feb,Scientific Article,Detecting intertrochanteric hip fractures with orthopedist-level accuracy using a deep convolutional neural network,Takaaki UrakawaYuki TanakaNaoto Endo
2019-Feb,Scientific Article,Preliminary results: use of multi-hole injection nails for intramedullary nailing with simultaneous bone cement injection in long-bone metastasis,Jong Woong ParkYong-il KimHan Soo Kim
2019-Feb,Meeting Highlights,"Highlights of the 22nd Annual Scientific Meeting of the Australasian Musculoskeletal Imaging Group [AMSIG] 2018, Gold Coast, Queensland, Australia",Ryan ShulmanTimothy DicksonMorgan McMeniman
2019-Feb,Review Article,Instability and impending instability in patients with vertebral metastatic disease,Antonio LeoneAlessandro CianfoniCesare Colosimo
2019-Feb,Perspective,"Incorporating musculoskeletal ultrasound into your radiology practice: patients, patience, and why your department cannot do without it",Tara A. MorganDaria Motamedi
2019-Feb,Scientific Article,Point vs. traditional method evaluation of hallux valgus: interreader reliability and intermethod performance using X-ray and MRI,Nathan HeinemanAvneesh ChhabraDane Wukich
2019-Feb,Review Article,The effects of granulocyte colony-stimulating factor on MR images of bone marrow,Liang GuJohn E. MadewellBilal Mujtaba
2019-Feb,Scientific Article,MRI findings for unilateral sternoclavicular arthritis: differentiation between infectious arthritis and spondyloarthritis,Byeong Seong KangHyun Seok ShimMinseo Bang
2019-Feb,Scientific Article,Artificial intelligence-assisted interpretation of bone age radiographs improves accuracy and decreases variability,Shahein H. TajmirHyunkwang LeeSynho Do
2019-Feb,Meeting Highlights,"Highlights of the special scientific sessions of the 45th Annual Scientific Meeting of the International Skeletal Society (ISS) 2018, Berlin, Germany",Miriam A. Bredella
2019-Feb,Technical Report,Differentiation between malignant and benign musculoskeletal tumors using diffusion kurtosis imaging,Masaki OgawaHirohito KanYuta Shibamoto
2019-Feb,Test Yourself: Question,Post-auricular lump: CT diagnosis,Ying Liang LowSoon Yiew SiaJunwei Zhang
2019-Feb,Case Report,High-pressure injection injury of the hand: peculiar MRI features and treatment implications,Mark CollinsAdam McGauvranBassem Elhassan
2019-Feb,Case Report,Progression of dialysis-related amyloidoma towards pathologic fracture,Joe D. BaalAndrew E. HorvaiThomas M. Link
2019-Feb,Case Report,Malignant granular cell tumor of the median nerve: a case report with a literature review of 157 cases,Shinji TsukamotoMaiko TakedaYasuhito Tanaka
2019-Feb,Case Report,Unusual proximal fragment migration of an os peroneum fracture with associated peroneus longus tendon injury—a tree often hides a forest,Sammy TawkFrédéric LecouvetSouad Acid
2019-Feb,Test Yourself: Answer,Post-auricular lump: CT diagnosis,Ying Liang LowSoon Yiew SiaJunwei Zhang
2019-Feb,Browser's Notes,Browser’s notes,
2019-Feb,Scientific Article,Utility of radial reformation of three-dimensional fat-suppressed multi-echo gradient-recalled-echo images for the evaluation of acetabular labral injuries and femoroacetabular impingement,Takahiro SueokaKeizo TanitameAwai Kazuo
2019-Mar,Scientific Article,"Added value of MRI to X-ray in guiding the extent of surgical resection in diabetic forefoot osteomyelitis: a review of pathologically proven, surgically treated cases",Micah CohenBrett CernigliaJay Horrow
2019-Mar,Scientific Article,High-resolution ultrasound in the assessment of the distal biceps brachii tendinous complex,M. BlasiJ. De la FuenteM. Miguel-Pérez
2019-Mar,Scientific Article,Reliability of patellotrochlear index in patellar height assessment on MRI—correction for variation due to change in knee flexion,M. AhmadS. JanardhanS. Choudhary
2019-Mar,Review Article,Current perspectives in conventional and advanced imaging of the distal radioulnar joint dysfunction: review for the musculoskeletal radiologist,Aishwarya GulatiVibhor WadhwaAvneesh Chhabra
2019-Mar,Scientific Article,The pattern of idiopathic isolated teres minor atrophy with regard to its two-bundle anatomy,Yusuhn KangJoong Mo AhnHeung Sik Kang
2019-Mar,Review Article,Radiologic evaluation of fracture healing,Jessica S. FisherJ. Jacob KazamRoger J. Bartolotta
2019-Mar,Scientific Article,Preliminary investigation of brown adipose tissue assessed by PET/CT and cancer activity,Stijn A. BosCorey M. GillMiriam A. Bredella
2019-Mar,Scientific Article,Radiation dose reduction for musculoskeletal computed tomography of the pelvis with preserved image quality,Elaina ZabakHythem OmarAvneesh Chhabra
2019-Mar,Scientific Article,Anatomy-based MRI assessment of the iliopsoas muscle complex after pertrochanteric femoral fracture,Malwina KaniewskaMatthias SchenkelSuzanne E. Anderson
