Date,Article Class,Article Titles,List of Article Author Names,First Author,Last Author
2021-Jan,Scientific Article,Kinematic MRI of ischiofemoral impingement,"Joao R. T. Vicentini,Edgar L. Martinez-Salazar,Martin Torriani",Joao R. T. Vicentini,Martin Torriani
2021-Jan,Review Article,Image-guided botulinum toxin injection in the lateral abdominal wall prior to abdominal wall reconstruction surgery: review of techniques and results,"Eva B. Deerenberg,Sharbel A. Elhage,Robert Lopez",Eva B. Deerenberg,Robert Lopez
2021-Jan,Review Article,A review of imaging of surface sarcomas of bone,"Kelly Harper,Paul Sathiadoss,Adnan Sheikh",Kelly Harper,Adnan Sheikh
2021-Jan,Review Article,Soft tissue pathology for the radiologist: a tumor board primer with 2020 WHO classification update,"Karin J. Kuhn,Jeffrey M. Cloutier,Geoffrey Riley",Karin J. Kuhn,Geoffrey Riley
2021-Jan,Scientific Article,Diagnostic concordance between ultrasound-guided core needle biopsy and surgical resection specimens for histological grading of extremity and trunk soft tissue sarcoma,"A. Tan,R. Rajakulasingam,A. Saifuddin",A. Tan,A. Saifuddin
2021-Jan,Scientific Article,Benefits of iterative metal artifact reduction and dual-energy CT towards mitigating artifact in the setting of total shoulder prostheses,"Payam Mohammadinejad,Francis I. Baffour,Katrina N. Glazebrook",Payam Mohammadinejad,Katrina N. Glazebrook
2021-Jan,Scientific Article,Perfusion in hand arthritis on dynamic contrast-enhanced computed tomography: a randomized prospective study using MRI as a standard of reference,"Sevtap Tugce Ulas,Kay Geert Hermann,Torsten Diekhoff",Sevtap Tugce Ulas,Torsten Diekhoff
2021-Jan,Scientific Article,Accurate prediction of lumbar microdecompression level with an automated MRI grading system,"Brandon L. Roller,Robert D. Boutin,Leon Lenchik",Brandon L. Roller,Leon Lenchik
2021-Jan,Scientific Article,Marrow uptake on FDG PET/CT is associated with progression from smoldering to symptomatic multiple myeloma,"Behrang Amini,Yves-Paul N. Nakache,Robert D. Boutin",Behrang Amini,Robert D. Boutin
2021-Jan,Scientific Article,MRI features of and factors related to ankle injuries in asymptomatic amateur marathon runners,"Wanzhen Yao,Yanjing Zhang,Jianping Ding",Wanzhen Yao,Jianping Ding
